140  x  141
┌─────────┬──────┬──────┬─────────┬────────┬────────┐
│ (index) │  id  │ line │ foundAt │ length │ number │
├─────────┼──────┼──────┼─────────┼────────┼────────┤
│    0    │  1   │  0   │   23    │   3    │  153   │
│    1    │  2   │  0   │   28    │   3    │  988   │
│    2    │  3   │  0   │   35    │   3    │  502   │
│    3    │  4   │  0   │   40    │   3    │  842   │
│    4    │  5   │  0   │   52    │   3    │  588   │
│    5    │  6   │  0   │   60    │   3    │  441   │
│    6    │  7   │  0   │   64    │   3    │  468   │
│    7    │  8   │  0   │   73    │   3    │  481   │
│    8    │  9   │  0   │   86    │   3    │  314   │
│    9    │  10  │  0   │   92    │   3    │  715   │
│   10    │  11  │  0   │   96    │   2    │   57   │
│   11    │  12  │  0   │   126   │   3    │  163   │
│   12    │  13  │  0   │   131   │   3    │  992   │
│   13    │  14  │  0   │   136   │   3    │  512   │
│   14    │  15  │  1   │   12    │   3    │  805   │
│   15    │  16  │  2   │    8    │   3    │  914   │
│   16    │  17  │  2   │   24    │   3    │  617   │
│   17    │  18  │  2   │   29    │   3    │  201   │
│   18    │  19  │  2   │   41    │   3    │  271   │
│   19    │  20  │  2   │   49    │   3    │  671   │
│   20    │  21  │  2   │   58    │   2    │   52   │
│   21    │  22  │  2   │   62    │   3    │  898   │
│   22    │  23  │  2   │   81    │   3    │  847   │
│   23    │  24  │  2   │   95    │   3    │  230   │
│   24    │  25  │  2   │   100   │   3    │  215   │
│   25    │  26  │  2   │   109   │   3    │  393   │
│   26    │  27  │  2   │   115   │   3    │  751   │
│   27    │  28  │  2   │   122   │   3    │  537   │
│   28    │  29  │  3   │   17    │   3    │  361   │
│   29    │  30  │  3   │   56    │   1    │   4    │
│   30    │  31  │  3   │   70    │   3    │  165   │
│   31    │  32  │  3   │   75    │   3    │  609   │
│   32    │  33  │  3   │   86    │   3    │  922   │
│   33    │  34  │  3   │   91    │   3    │  133   │
│   34    │  35  │  3   │   105   │   3    │  706   │
│   35    │  36  │  3   │   131   │   3    │  552   │
│   36    │  37  │  3   │   135   │   3    │  127   │
│   37    │  38  │  4   │    0    │   3    │  490   │
│   38    │  39  │  4   │   30    │   3    │  350   │
│   39    │  40  │  4   │   40    │   3    │  664   │
│   40    │  41  │  4   │   51    │   3    │  806   │
│   41    │  42  │  4   │   79    │   3    │  514   │
│   42    │  43  │  4   │   83    │   2    │   31   │
│   43    │  44  │  4   │   100   │   2    │   25   │
│   44    │  45  │  4   │   124   │   2    │   83   │
│   45    │  46  │  5   │    4    │   3    │  245   │
│   46    │  47  │  5   │   22    │   3    │  805   │
│   47    │  48  │  5   │   36    │   3    │  467   │
│   48    │  49  │  5   │   46    │   3    │  449   │
│   49    │  50  │  5   │   67    │   3    │  313   │
│   50    │  51  │  5   │   75    │   3    │  115   │
│   51    │  52  │  5   │   90    │   3    │  611   │
│   52    │  53  │  5   │   94    │   3    │  343   │
│   53    │  54  │  5   │   113   │   3    │  237   │
│   54    │  55  │  5   │   118   │   3    │  229   │
│   55    │  56  │  6   │   30    │   3    │  150   │
│   56    │  57  │  6   │   61    │   1    │   8    │
│   57    │  58  │  6   │   71    │   3    │  511   │
│   58    │  59  │  6   │   108   │   3    │  837   │
│   59    │  60  │  7   │    0    │   3    │  435   │
│   60    │  61  │  7   │   20    │   3    │  688   │
│   61    │  62  │  7   │   24    │   1    │   8    │
│   62    │  63  │  7   │   46    │   3    │  330   │
│   63    │  64  │  7   │   66    │   3    │  474   │
│   64    │  65  │  7   │   76    │   1    │   9    │
│   65    │  66  │  7   │   84    │   3    │  736   │
│   66    │  67  │  7   │   102   │   3    │  787   │
│   67    │  68  │  7   │   113   │   3    │  336   │
│   68    │  69  │  7   │   119   │   3    │  245   │
│   69    │  70  │  7   │   125   │   3    │  446   │
│   70    │  71  │  7   │   133   │   3    │  916   │
│   71    │  72  │  8   │   10    │   3    │  920   │
│   72    │  73  │  8   │   38    │   3    │  666   │
│   73    │  74  │  8   │   43    │   2    │   90   │
│   74    │  75  │  8   │   50    │   3    │  786   │
│   75    │  76  │  8   │   56    │   3    │  221   │
│   76    │  77  │  8   │   72    │   3    │  173   │
│   77    │  78  │  8   │   96    │   2    │   25   │
│   78    │  79  │  8   │   99    │   2    │   98   │
